NFDName,NFDCode,model.name,term,estimate,std.error,statistic,p.value
Xeric,3,da.sq.mi + precip.in,(Intercept),-2.987193096465712,0.3108542846085369,-9.60962497341005,6.502712511360845e-16
Xeric,3,da.sq.mi + precip.in,da.sq.mi,0.7957822098409849,0.05389851866229126,14.76445419264804,5.71466973525884e-27
Xeric,3,da.sq.mi + precip.in,precip.in,2.7987225586864968,0.19372069810560105,14.447204589159888,2.5500540629689805e-26
Xeric,3,da.sq.mi + elev.ft + precip.in,(Intercept),-0.5072288041411309,0.4044937574114951,-1.253984257722728,0.21277121022892598
Xeric,3,da.sq.mi + elev.ft + precip.in,da.sq.mi,0.8586889995992766,0.04359414744467697,19.697345857927225,3.382333374238152e-36
Xeric,3,da.sq.mi + elev.ft + precip.in,elev.ft,-0.633532582462622,0.0818257377701418,-7.742460987547588,8.10016784690961e-12
Xeric,3,da.sq.mi + elev.ft + precip.in,precip.in,2.532906318966151,0.15772163070200335,16.059346506198523,1.914827916110514e-29
Xeric,3,da.sq.mi + relief.ft + precip.in,(Intercept),0.3444832476911181,0.5894483719385268,0.5844163188681163,0.5602564055462513
Xeric,3,da.sq.mi + relief.ft + precip.in,da.sq.mi,1.026775896613837,0.05857704637952197,17.528638947777143,2.9338566207058226e-32
Xeric,3,da.sq.mi + relief.ft + precip.in,relief.ft,-1.007810404421737,0.15941196838803307,-6.322049809764426,7.268523457207036e-9
Xeric,3,da.sq.mi + relief.ft + precip.in,precip.in,2.7242656133569647,0.16497998709963627,16.51270351786184,2.517471615755486e-30
Xeric,3,da.sq.mi + slope.pct + precip.in,(Intercept),-2.075398169985625,0.3554559031096811,-5.838693778410062,6.556150450260639e-8
Xeric,3,da.sq.mi + slope.pct + precip.in,da.sq.mi,0.7896308758755015,0.04971541837073609,15.883017819282815,4.245106203442513e-29
Xeric,3,da.sq.mi + slope.pct + precip.in,slope.pct,-0.7264311680832133,0.16750224944272749,-4.336844254331016,3.4553258174693036e-5
Xeric,3,da.sq.mi + slope.pct + precip.in,precip.in,2.830640366018836,0.1787647292091194,15.834445522570318,5.289693126373101e-29
Xeric,3,da.sq.mi + elev.ft + slope.pct + precip.in,(Intercept),-0.4750790962632905,0.40360480429046985,-1.1770897948018018,0.24198190389073723
Xeric,3,da.sq.mi + elev.ft + slope.pct + precip.in,da.sq.mi,0.8505296630388988,0.0438460239255177,19.398102425061712,1.687607639349021e-35
Xeric,3,da.sq.mi + elev.ft + slope.pct + precip.in,elev.ft,-0.5703489330615754,0.09414984723709875,-6.057884848450773,2.4982048620375984e-8
Xeric,3,da.sq.mi + elev.ft + slope.pct + precip.in,slope.pct,-0.22266474324541286,0.1661067524324513,-1.3404918221850213,0.18315357751771094
Xeric,3,da.sq.mi + elev.ft + slope.pct + precip.in,precip.in,2.5692001838957883,0.15941297132521778,16.11663193112669,1.9656838231493128e-29
Xeric,3,da.sq.mi + relief.ft + slope.pct + precip.in,(Intercept),0.1701059221271328,0.6010784972470179,0.28300117689491466,0.7777668321386415
Xeric,3,da.sq.mi + relief.ft + slope.pct + precip.in,da.sq.mi,0.9905741185458963,0.0642047175406925,15.428369697570545,4.373486327914758e-28
Xeric,3,da.sq.mi + relief.ft + slope.pct + precip.in,relief.ft,-0.8591929729639501,0.1931884936814699,-4.447433470756243,2.2756926860512708e-5
Xeric,3,da.sq.mi + relief.ft + slope.pct + precip.in,slope.pct,-0.25250000537264167,0.18702055925175132,-1.3501189729239738,0.1800564822511768
Xeric,3,da.sq.mi + relief.ft + slope.pct + precip.in,precip.in,2.7463397579843982,0.165116868791522,16.632702509953425,1.9965254202929267e-30
Xeric,3,da.sq.mi + precip.in.8,(Intercept),-1.8110742757695972,0.2102269396094521,-8.614853449011388,9.941945857261057e-14
Xeric,3,da.sq.mi + precip.in.8,da.sq.mi,0.7775836967764888,0.04922227882991386,15.797393279238582,4.7718467736200264e-29
Xeric,3,da.sq.mi + precip.in.8,precip.in.8,2.2746818975056438,0.13793821998872982,16.490584681254372,2.071251659862144e-30
Xeric,3,da.sq.mi + elev.ft.8 + precip.in.8,(Intercept),-0.9688580808162315,0.4244272182391573,-2.2827425744177816,0.02456266368622932
Xeric,3,da.sq.mi + elev.ft.8 + precip.in.8,da.sq.mi,0.7715354908381009,0.04831431223690876,15.969087732324205,2.876763767634124e-29
Xeric,3,da.sq.mi + elev.ft.8 + precip.in.8,elev.ft.8,-0.20946582936185298,0.09228640790464299,-2.2697365096091753,0.025370127833719208
Xeric,3,da.sq.mi + elev.ft.8 + precip.in.8,precip.in.8,2.166750797105593,0.14330711409642727,15.119631783580878,1.393836827674847e-27
Xeric,3,da.sq.mi + relief.ft.8 + precip.in.8,(Intercept),0.2312704640405069,0.7876439351912398,0.2936231128147448,0.7696544368578003
Xeric,3,da.sq.mi + relief.ft.8 + precip.in.8,da.sq.mi,0.7778737110652854,0.047776180913265125,16.28162184996473,7.058243191806618e-30
Xeric,3,da.sq.mi + relief.ft.8 + precip.in.8,relief.ft.8,-0.5076743593422498,0.18910384749577522,-2.684632629452935,0.008500547379805127
Xeric,3,da.sq.mi + relief.ft.8 + precip.in.8,precip.in.8,2.191935323775482,0.1373874633714682,15.95440566399372,3.0739832991436886e-29
Xeric,3,da.sq.mi + slope.pct.8 + precip.in.8,(Intercept),-1.4779178386627172,0.2371058298397118,-6.2331568973306934,1.0950266008525708e-8
Xeric,3,da.sq.mi + slope.pct.8 + precip.in.8,da.sq.mi,0.7583166106692008,0.04821426588384944,15.728054690203583,8.573333622601277e-29
