site_no,q.cfs,da.sq.mi,record.start,record.end,record.length,record.gap
11210100,358.1,86.69996405298355,1959,1990,31,1
11211300,264.02,75.5999686551967,1960,1994,34,1
11213500,8070,951.9996052876622,1950,1982,32,1
11214000,574,37.699984369059734,1957,1981,24,1
11215000,520,180.99992495490218,1950,2019,69,7
11216500,595,249.99989634654995,1961,2019,58,1
11218400,1850,386.9998395444594,1961,2019,58,1
11218500,8610,1341.9994435882802,1963,1993,30,1
11220000,698.1,69.999970977034,1954,1973,19,1
11220500,509,56.09997674016582,1954,1973,19,1
11221700,726,126.99994734404738,1958,1994,36,1
11224500,125,95.79996027999795,1950,2019,69,1
11226500,3560,248.9998967611638,1952,1991,39,1
11230215,123,183.99992371106077,1976,2019,43,2
11230500,617,52.49997823277549,1950,2019,69,1
11234760,4300,1002.9995841423585,1960,2019,59,1
11237500,333,22.899990505343975,1950,2019,69,1
11237700,120.02,22.999990463882597,1987,2019,32,3
11238500,214.04,130.9999456855922,1987,2019,32,1
11238600,5030.6,1196.9995037072813,1974,2019,45,6
11239300,123,4.4199981674070035,1990,2019,29,1
11241500,216.04,29.399987810354276,1987,2019,32,1
11242000,3590.5,1294.999463075129,1952,2019,67,1
11242400,167,16.89999299302678,1966,2009,43,2
11244000,125,50.79997893761895,1950,2019,69,1
11246500,716.1,129.999946100206,1953,2019,66,1
11246700,2290,1460.999394249238,1987,2019,32,1
11247000,6700,1479.9993863715758,1950,1981,31,1
11251000,1070,1675.9993051072709,1950,2019,69,1
11253310,58.6,46.39998076191968,1967,2019,52,1
11257100,103.01,10.599995605093719,1961,1980,19,1
11257500,684.1,132.9999448563646,1950,1990,40,1
11258900,551.02,33.59998606897632,1958,1980,22,1
11260480,902,65.69997275987333,1959,1980,21,1
11261500,1950,7614.996842715913,1950,2019,69,16
11264500,2410,180.99992495490218,1950,2019,69,1
11266500,3890,320.99986690897015,1950,2019,69,1
11268000,2480,240.9999000780742,1952,1975,23,1
11269300,358.01,16.9999929515654,1960,1980,20,2
11271320,601.02,67.59997197210711,1967,1992,25,1
11272500,2151,1272.9994721966325,1950,2010,60,7
11275000,1130,45.99998092776519,1950,1983,33,2
11276500,4150.7,456.9998105214934,1950,2019,69,1
