DWRName,DWRCode,model.name,term,estimate,std.error,statistic,p.value
Sacramento River,4,da.sq.mi + elev.ft + slope.pct + precip.in,elev.ft,-1.0357879621648551,0.173851409717976,-5.9578922244296075,6.52908531461965e-8
Sacramento River,4,da.sq.mi + elev.ft + slope.pct + precip.in,slope.pct,0.9747116356149551,0.258827941024862,3.765867130710313,3.15550802961416e-4
Sacramento River,4,da.sq.mi + elev.ft + slope.pct + precip.in,precip.in,0.9550655632714579,0.2640429074206726,3.6170847102128345,5.198964232816834e-4
Sacramento River,4,da.sq.mi + relief.ft + slope.pct + precip.in,(Intercept),-0.8273334444162683,0.8057008699414848,-1.0268493870142583,0.307586217853972
Sacramento River,4,da.sq.mi + relief.ft + slope.pct + precip.in,da.sq.mi,0.7533284296908478,0.1072812031905844,7.021998330430397,6.437223827471336e-10
Sacramento River,4,da.sq.mi + relief.ft + slope.pct + precip.in,relief.ft,0.05902859324344024,0.3152767604068124,0.1872278602687798,0.8519560109682537
Sacramento River,4,da.sq.mi + relief.ft + slope.pct + precip.in,slope.pct,0.9528946632433174,0.3362689505907604,2.833727769302706,0.00582131121717986
Sacramento River,4,da.sq.mi + relief.ft + slope.pct + precip.in,precip.in,0.6098226156160858,0.32948906870031236,1.8508128904596575,0.0678874726135076
Sacramento River,4,da.sq.mi + precip.in.8,(Intercept),0.8409678500515211,0.5260071929831818,1.5987763309510667,0.11371666905667628
Sacramento River,4,da.sq.mi + precip.in.8,da.sq.mi,0.7252461234743104,0.05558486483760345,13.0475467664298,1.0440771111743282e-21
Sacramento River,4,da.sq.mi + precip.in.8,precip.in.8,0.5231415454451637,0.2938287566929454,1.7804300414062362,0.07870957053367743
Sacramento River,4,da.sq.mi + elev.ft.8 + precip.in.8,(Intercept),2.1711938942258833,0.5468121870523643,3.9706391803918653,1.543636217615563e-4
Sacramento River,4,da.sq.mi + elev.ft.8 + precip.in.8,da.sq.mi,0.7055404476787217,0.04970013725568521,14.19594565803769,1.1053241286518986e-23
Sacramento River,4,da.sq.mi + elev.ft.8 + precip.in.8,elev.ft.8,-0.6205854217395327,0.13142719992412588,-4.7218948748645815,9.664564138666482e-6
Sacramento River,4,da.sq.mi + elev.ft.8 + precip.in.8,precip.in.8,1.0509615914485497,0.28465930380658633,3.6919980390404965,4.022384965373061e-4
Sacramento River,4,da.sq.mi + relief.ft.8 + precip.in.8,(Intercept),3.389255962131915,1.267887100268317,2.67315280786015,0.009084698209712682
Sacramento River,4,da.sq.mi + relief.ft.8 + precip.in.8,da.sq.mi,0.7279207575824994,0.05434271945402424,13.395000561176273,3.043334676566989e-22
Sacramento River,4,da.sq.mi + relief.ft.8 + precip.in.8,relief.ft.8,-0.957702856740531,0.43556696681564405,-2.198749973493476,0.03074818644101782
Sacramento River,4,da.sq.mi + relief.ft.8 + precip.in.8,precip.in.8,1.237325491279786,0.4335693171539294,2.8538123947560163,0.005482561938674927
