DWRName,DWRCode,model.name,term,estimate,std.error,statistic,p.value
San Joaquin and Tulare,5,da.sq.mi,da.sq.mi,1.4399366426867466,0.21908441093230605,6.572519863732643,7.847296422756304e-9
San Joaquin and Tulare,5,da.sq.mi + elev.ft.8,(Intercept),-9.407500305800577,1.2525730263117891,-7.510540390208652,1.6946766446476255e-10
San Joaquin and Tulare,5,da.sq.mi + elev.ft.8,da.sq.mi,1.3011753706364493,0.18445196378931702,7.054277676992724,1.1325385932528431e-9
San Joaquin and Tulare,5,da.sq.mi + elev.ft.8,elev.ft.8,1.963007552919927,0.351746287848205,5.5807484563051215,4.5187150305336364e-7
San Joaquin and Tulare,5,da.sq.mi + relief.ft.8,(Intercept),-24.05565838463442,3.8545727091838398,-6.240810642206804,3.2111504397999425e-8
San Joaquin and Tulare,5,da.sq.mi + relief.ft.8,da.sq.mi,1.357446864370519,0.18373090827791272,7.38823356991865,2.8226797362112727e-10
San Joaquin and Tulare,5,da.sq.mi + relief.ft.8,relief.ft.8,5.328476551665514,0.9608119256972762,5.54580600963977,5.185103960462836e-7
San Joaquin and Tulare,5,da.sq.mi + slope.pct.8,(Intercept),-6.375342017226671,0.8802397652729632,-7.2427334787013065,5.174675704890125e-10
San Joaquin and Tulare,5,da.sq.mi + slope.pct.8,da.sq.mi,1.287308570356602,0.1949642980352401,6.602791297327263,7.313430358507358e-9
San Joaquin and Tulare,5,da.sq.mi + slope.pct.8,slope.pct.8,2.854515854927101,0.6132686356989544,4.654592928388964,1.552018283611147e-5
San Joaquin and Tulare,5,da.sq.mi + precip.in.8,(Intercept),-7.491918564593381,0.8331016574197672,-8.992802376359332,3.478040425767483e-13
San Joaquin and Tulare,5,da.sq.mi + precip.in.8,da.sq.mi,1.4118582870836125,0.17464632737028807,8.08409949606422,1.5415771040505792e-11
San Joaquin and Tulare,5,da.sq.mi + precip.in.8,precip.in.8,3.235032249074754,0.5073980838064722,6.375728155703155,1.8537088327641864e-8
San Joaquin and Tulare,5,da.sq.mi + elev.ft.8 + precip.in.8,(Intercept),-8.743201435797518,1.2090555289918674,-7.231430836834896,5.827317987001624e-10
San Joaquin and Tulare,5,da.sq.mi + elev.ft.8 + precip.in.8,da.sq.mi,1.3663496758121527,0.17630316720645642,7.750000737151337,6.794311351907943e-11
San Joaquin and Tulare,5,da.sq.mi + elev.ft.8 + precip.in.8,elev.ft.8,0.7522165729315011,0.5302256158586887,1.4186726375211107,0.16062961955988742
San Joaquin and Tulare,5,da.sq.mi + elev.ft.8 + precip.in.8,precip.in.8,2.3520116389431953,0.8006815502337146,2.937511971215842,0.004532551440151028
San Joaquin and Tulare,5,da.sq.mi + relief.ft.8 + precip.in.8,(Intercept),-15.256367604483367,4.567985375167918,-3.3398459827430043,0.0013727819148105786
San Joaquin and Tulare,5,da.sq.mi + relief.ft.8 + precip.in.8,da.sq.mi,1.3845394730346492,0.17287543217669693,8.008885100686278,2.319320426420996e-11
San Joaquin and Tulare,5,da.sq.mi + relief.ft.8 + precip.in.8,relief.ft.8,2.28174945800917,1.3205301300884709,1.7279041242749236,0.08861230148849578
San Joaquin and Tulare,5,da.sq.mi + relief.ft.8 + precip.in.8,precip.in.8,2.3127645463860853,0.7314620016932271,3.161838265053243,0.0023553806222244263
San Joaquin and Tulare,5,da.sq.mi + slope.pct.8 + precip.in.8,(Intercept),-7.722539581550182,0.8721705299134022,-8.854391792298866,6.978344325222232e-13
San Joaquin and Tulare,5,da.sq.mi + slope.pct.8 + precip.in.8,da.sq.mi,1.3778355070922492,0.17886305327977708,7.703298595361909,8.247567365659055e-11
San Joaquin and Tulare,5,da.sq.mi + slope.pct.8 + precip.in.8,slope.pct.8,0.7100337736410395,0.7836726691833087,0.9060336050522079,0.36816492780871046
San Joaquin and Tulare,5,da.sq.mi + slope.pct.8 + precip.in.8,precip.in.8,2.78085609701419,0.7137323926802791,3.8962167410830855,2.2822912320897082e-4
Sacramento River,4,da.sq.mi,(Intercept),-1.3422281011374944,0.28659887139897544,-4.683298627749909,1.2307270429727864e-5
Sacramento River,4,da.sq.mi,da.sq.mi,1.0338610796000838,0.11919113269963698,8.673976462707385,6.212222553190209e-13
Sacramento River,4,da.sq.mi + elev.ft.8,(Intercept),-2.1306309510572023,1.173243294668637,-1.816018008148057,0.07341807325101206
Sacramento River,4,da.sq.mi + elev.ft.8,da.sq.mi,1.0543316859874643,0.12319843073323308,8.557996069531555,1.13918406943023e-12
Sacramento River,4,da.sq.mi + elev.ft.8,elev.ft.8,0.2149723363684483,0.31014582379428374,0.6931331002252574,0.49039580645371805
Sacramento River,4,da.sq.mi + relief.ft.8,(Intercept),-9.886864719403867,2.5787702340989576,-3.833945571679989,2.6276122110333093e-4
Sacramento River,4,da.sq.mi + relief.ft.8,da.sq.mi,1.127163894015573,0.11534623485167855,9.77200422246093,5.8772083770256435e-15
Sacramento River,4,da.sq.mi + relief.ft.8,relief.ft.8,2.147280909770377,0.6445122171927862,3.331637248279009,0.0013496280555709396
Sacramento River,4,da.sq.mi + slope.pct.8,(Intercept),-2.1419635462838142,0.8246106233611287,-2.5975454179248016,0.011322527086712214
Sacramento River,4,da.sq.mi + slope.pct.8,da.sq.mi,1.0813686451615694,0.1276844152394204,8.469073090352495,1.678289249183767e-12
Sacramento River,4,da.sq.mi + slope.pct.8,slope.pct.8,0.5059421360271337,0.48918828083375687,1.0342482758679787,0.3043882809534219
Sacramento River,4,da.sq.mi + precip.in.8,(Intercept),-6.159188861636479,1.0443055049139127,-5.897880297149455,1.0245741786332804e-7
Sacramento River,4,da.sq.mi + precip.in.8,da.sq.mi,1.1733349991775504,0.10904606031202348,10.759994408052703,8.631916996561463e-17
Sacramento River,4,da.sq.mi + precip.in.8,precip.in.8,2.763420718045559,0.5813220646831798,4.7536828307929815,9.595709806968866e-6
Sacramento River,4,da.sq.mi + elev.ft.8 + precip.in.8,(Intercept),-5.396744278856729,1.2292554608862267,-4.39025446750179,3.757883938252598e-5
Sacramento River,4,da.sq.mi + elev.ft.8 + precip.in.8,da.sq.mi,1.155041503018623,0.10989911578343751,10.510016343486313,2.932217866661847e-16
Sacramento River,4,da.sq.mi + elev.ft.8 + precip.in.8,elev.ft.8,-0.34496356219078156,0.2952519636482913,-1.1683700861062094,0.2464590394472239
