site_no,q.cfs,da.sq.mi,record.start,record.end,record.length,record.gap
11203580,1.99,20.09999166626262,2001,2020,19,1
11204100,1.4251,95.79996027999795,2002,2020,18,1
11204500,0.2383,108.99995480709579,1950,1990,40,3
11206500,9.429,101.99995770939239,1951,2003,52,4
11208000,1.738,51.399978688850666,1951,2019,68,3
11208730,5.435,85.79996442613596,1954,2019,65,17
11209900,33,417.9998266914316,1960,1990,30,1
11210100,0.511,86.69996405298355,1960,1990,30,1
11211300,0.0221,75.5999686551967,1961,1994,33,1
11213500,141.9,951.9996052876622,1950,1982,32,1
11214000,1.571,37.699984369059734,1958,1981,23,1
11215000,9.61,180.99992495490218,1950,2019,69,7
11216500,11.14,249.99989634654995,1961,2019,58,1
11218400,33.71,386.9998395444594,1961,2019,58,1
11218500,181.6,1341.9994435882802,1963,1993,30,1
11220000,0.4503,69.999970977034,1955,1973,18,1
11220500,0.0215,56.09997674016582,1954,1973,19,1
11221700,0.0419,126.99994734404738,1959,1994,35,1
11224500,0.0054,95.79996027999795,1950,2020,70,1
11226500,51.1,248.9998967611638,1953,1991,38,1
11230215,13,183.99992371106077,1977,2019,42,3
11230500,5.49,52.49997823277549,1950,2019,69,1
11234760,11,1002.9995841423585,1961,2019,58,1
11237500,0.2629,22.899990505343975,1950,2019,69,1
11237700,0.1601,22.999990463882597,1988,2019,31,3
11238500,3.128,130.9999456855922,1988,2019,31,1
11238600,3.97,1196.9995037072813,1975,2019,44,7
11239300,4.01,4.4199981674070035,1990,2019,29,1
11241500,2.6416,29.399987810354276,1988,2019,31,1
11242000,5.616,1294.999463075129,1952,2019,67,1
11242400,1.826,16.89999299302678,1967,2009,42,3
11244000,0.3,50.79997893761895,1950,2019,69,1
11246500,0.6289,129.999946100206,1953,2019,66,1
11246700,27.1,1460.999394249238,1988,2019,31,1
11247000,500.1,1479.9993863715758,1950,1981,31,1
11251000,49.1,1675.9993051072709,1950,2020,70,1
11253310,0.00282,46.39998076191968,1968,2020,52,1
